CustomerKey,CustomerName,CustomerSegment,GeographyKey,EmailDomain,BirthYear
1,Valentina Torres 0001,Educacion,28,fabrikam.com,1964
2,Juan Castro 0002,Pyme,26,contoso.com,1961
3,Jorge Diaz 0003,Pyme,19,empresa.com,1972
4,Miguel Morales 0004,Retail,14,contoso.com,1966
5,Diego Garcia 0005,Retail,3,outlook.com,1962
6,Camila Castro 0006,Educacion,18,contoso.com,1981
7,Juan Torres 0007,Retail,14,contoso.com,1992
8,Valentina Martinez 0008,Educacion,32,empresa.com,1983
9,Pedro Perez 0009,Gobierno,8,contoso.com,1997
10,Jorge Martinez 0010,Retail,29,contoso.com,1982
11,Jorge Vargas 0011,Retail,27,contoso.com,1962
12,Miguel Perez 0012,Corporativo,14,empresa.com,1989
13,Daniela Martinez 0013,Gobierno,29,empresa.com,1982
14,Carlos Lopez 0014,Educacion,33,fabrikam.com,1961
15,Maria Morales 0015,Gobierno,24,outlook.com,1983
16,Miguel Torres 0016,Educacion,33,cliente.co,1996
17,Laura Morales 0017,Corporativo,26,gmail.com,1987
18,Miguel Castro 0018,Pyme,5,contoso.com,1974
19,Valentina Diaz 0019,Pyme,11,gmail.com,1997
20,Pedro Torres 0020,Retail,11,cliente.co,1982
21,Juan Gomez 0021,Corporativo,10,gmail.com,1961
22,Diego Rodriguez 0022,Corporativo,17,empresa.com,1986
23,Carlos Martinez 0023,Educacion,32,fabrikam.com,1970
24,Diego Perez 0024,Gobierno,9,cliente.co,1966
25,Carlos Ramirez 0025,Gobierno,30,cliente.co,1968
26,Miguel Ramirez 0026,Corporativo,3,fabrikam.com,1969
27,Diego Castro 0027,Corporativo,15,contoso.com,1997
28,Diego Rodriguez 0028,Gobierno,9,cliente.co,1989
29,Sofia Vargas 0029,Corporativo,5,contoso.com,1960
30,Diego Rodriguez 0030,Gobierno,25,contoso.com,2001
31,Laura Ramirez 0031,Corporativo,1,fabrikam.com,1988
32,Jorge Ramirez 0032,Educacion,14,empresa.com,1963
33,Andres Torres 0033,Gobierno,21,outlook.com,2002
34,Carlos Castro 0034,Educacion,9,outlook.com,1974
35,Camila Perez 0035,Pyme,11,gmail.com,2001
36,Valentina Diaz 0036,Corporativo,15,cliente.co,1999
37,Juan Rodriguez 0037,Educacion,12,fabrikam.com,2003
38,Ana Morales 0038,Corporativo,3,contoso.com,1987
39,Andres Garcia 0039,Corporativo,12,contoso.com,1971
40,Miguel Diaz 0040,Gobierno,26,fabrikam.com,2003
41,Carlos Rojas 0041,Corporativo,8,cliente.co,1972
42,Camila Martinez 0042,Educacion,30,outlook.com,1967
43,Maria Castro 0043,Pyme,12,contoso.com,1998
44,Laura Torres 0044,Gobierno,12,fabrikam.com,1983
45,Isabella Rojas 0045,Retail,27,fabrikam.com,1992
46,Valentina Sanchez 0046,Corporativo,12,gmail.com,1987
47,Camila Gomez 0047,Gobierno,1,gmail.com,1966
48,Miguel Castro 0048,Gobierno,10,gmail.com,1984
49,Carlos Morales 0049,Educacion,6,fabrikam.com,1965
50,Felipe Sanchez 0050,Gobierno,32,gmail.com,1970
51,Juan Rojas 0051,Corporativo,29,cliente.co,2001
