SalesOrderLineKey,OrderDate,ShipDate,OrderTimeStamp,ProductKey,CustomerKey,GeographyKey,CanalKey,CanalVenta,PromocionKey,PromocionCodigo,Cantidad,UnitPrice,ImporteVenta,ImporteCosto,ShipAddressFull,InternalNotes,ETLLoadID
1,2025-04-04 22:34:37,2025-04-13 09:42:37,2025-04-04 22:34:37.000,78,193,17,3,Distribuidor,2,BLACKFRIDAY,7,1290.228769,8760.65,4599.63,5146 Calle Central Apt 34 - Ref 000001,Nota interna orden 000001: validacion logistica 551961 prioridad B lote ee860e0a,ETL-20250404-000001
2,2024-04-09 02:09:30,2024-04-17 15:34:30,2024-04-09 02:09:30.000,72,1037,11,2,Tienda Fisica,10,OUTLET,5,340.362665,1650.76,903.72,9646 Calle Central Apt 265 - Ref 000002,Nota interna orden 000002: validacion logistica 184788 prioridad B lote 51bc6bb4,ETL-20240409-000002
3,2024-07-09 17:25:54,2024-07-18 17:03:54,2024-07-09 17:25:54.000,48,1479,3,4,Marketplace,2,BLACKFRIDAY,7,1277.822273,8676.41,5255.94,7492 Calle Central Apt 784 - Ref 000003,Nota interna orden 000003: validacion logistica 503049 prioridad A lote 7dfa2bd9,ETL-20240709-000003
4,2025-12-12 22:54:17,2025-12-21 06:25:17,2025-12-12 22:54:17.000,43,1249,15,4,Marketplace,2,BLACKFRIDAY,7,155.689908,1057.13,748.13,4570 Calle Central Apt 86 - Ref 000004,Nota interna orden 000004: validacion logistica 627773 prioridad C lote bdc4c78d,ETL-20251212-000004
5,2024-08-22 21:28:16,2024-08-29 15:29:16,2024-08-22 21:28:16.000,66,1234,15,5,Call Center,18,TEMPORADA,4,730.283421,2629.02,1775.39,9908 Calle Central Apt 739 - Ref 000005,Nota interna orden 000005: validacion logistica 412083 prioridad A lote 3b0211c7,ETL-20240822-000005
6,2023-01-14 20:34:09,2023-01-16 04:09:09,2023-01-14 20:34:09.000,20,1696,27,4,Marketplace,17,OUTLET,3,770.542466,2196.05,1258.13,3245 Calle Central Apt 892 - Ref 000006,Nota interna orden 000006: validacion logistica 326024 prioridad A lote 4bb1cba2,ETL-20230114-000006
7,2024-11-27 08:32:49,2024-12-05 01:50:49,2024-11-27 08:32:49.000,13,441,18,3,Distribuidor,15,CYBER,2,363.996359,727.99,454.26,2605 Calle Central Apt 155 - Ref 000007,Nota interna orden 000007: validacion logistica 622631 prioridad A lote 9a2b45a1,ETL-20241127-000007
8,2024-07-12 13:10:29,2024-07-17 08:10:29,2024-07-12 13:10:29.000,48,519,31,3,Distribuidor,6,TEMPORADA,1,1432.794907,1318.17,735.98,584 Calle Central Apt 666 - Ref 000008,Nota interna orden 000008: validacion logistica 344275 prioridad A lote 7b84e59e,ETL-20240712-000008
9,2023-11-13 05:58:05,2023-11-18 13:23:05,2023-11-13 05:58:05.000,65,1295,4,5,Call Center,17,OUTLET,5,426.678590,2026.72,1790.33,6599 Calle Central Apt 700 - Ref 000009,Nota interna orden 000009: validacion logistica 495675 prioridad B lote 8230a4b0,ETL-20231113-000009
10,2025-05-08 15:49:20,2025-05-11 21:27:20,2025-05-08 15:49:20.000,50,1741,25,4,Marketplace,2,BLACKFRIDAY,8,232.589379,1804.89,1293.80,6218 Calle Central Apt 220 - Ref 000010,Nota interna orden 000010: validacion logistica 685526 prioridad C lote 1ed25e6c,ETL-20250508-000010
11,2025-12-17 16:36:55,2025-12-25 17:12:55,2025-12-17 16:36:55.000,37,1994,23,3,Distribuidor,14,BLACKFRIDAY,7,685.762931,4560.32,4429.54,8663 Calle Central Apt 987 - Ref 000011,Nota interna orden 000011: validacion logistica 928785 prioridad C lote 45bbdaca,ETL-20251217-000011
12,2024-04-13 16:56:21,2024-04-15 16:37:21,2024-04-13 16:56:21.000,16,694,25,4,Marketplace,9,LOYALTY,4,764.896300,2906.61,1839.51,3104 Calle Central Apt 695 - Ref 000012,Nota interna orden 000012: validacion logistica 290350 prioridad B lote f196175b,ETL-20240413-000012
13,2024-06-05 14:34:20,2024-06-13 02:19:20,2024-06-05 14:34:20.000,15,2426,31,5,Call Center,23,TEMPORADA,1,1201.011097,1104.93,772.08,1531 Calle Central Apt 830 - Ref 000013,Nota interna orden 000013: validacion logistica 488900 prioridad C lote f4415430,ETL-20240605-000013
14,2024-03-23 12:15:50,2024-03-28 11:16:50,2024-03-23 12:15:50.000,37,430,19,2,Tienda Fisica,7,BLACKFRIDAY,7,814.027890,4843.47,4183.85,7857 Calle Central Apt 634 - Ref 000014,Nota interna orden 000014: validacion logistica 524153 prioridad A lote 49e7f5b0,ETL-20240323-000014
15,2025-03-04 01:33:07,2025-03-12 06:09:07,2025-03-04 01:33:07.000,76,110,6,5,Call Center,9,LOYALTY,7,221.124003,1470.47,1070.34,5581 Calle Central Apt 381 - Ref 000015,Nota interna orden 000015: validacion logistica 177141 prioridad B lote 237a671f,ETL-20250304-000015
16,2023-06-22 09:08:29,2023-07-01 17:56:29,2023-06-22 09:08:29.000,77,2296,25,5,Call Center,20,CYBER,6,760.755139,4199.37,3206.57,138 Calle Central Apt 325 - Ref 000016,Nota interna orden 000016: validacion logistica 245159 prioridad B lote 21a5adcd,ETL-20230622-000016
17,2025-10-27 01:23:15,2025-11-05 00:49:15,2025-10-27 01:23:15.000,72,100,15,3,Distribuidor,14,BLACKFRIDAY,2,366.107292,695.60,367.04,7685 Calle Central Apt 388 - Ref 000017,Nota interna orden 000017: validacion logistica 319518 prioridad C lote a5d9f478,ETL-20251027-000017
18,2023-04-07 21:59:52,2023-04-09 17:13:52,2023-04-07 21:59:52.000,65,2066,16,1,Online,15,CYBER,1,412.927666,412.93,336.07,2218 Calle Central Apt 663 - Ref 000018,Nota interna orden 000018: validacion logistica 890903 prioridad C lote 10508632,ETL-20230407-000018
